symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,average_error_mean,rsquared_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,average_error_variance,rsquared_variance
^GSPTSE,540,0,10800,log-return volatility,1,-0.00015046181823218682,2.5801472031211013e-05,0.7117182161028771,0.043258637716419586,0.20996366808419678,0.2782036389260278,0.20580662842085115,0.9475183827566821,410,10660,0.0007669917456948821,0.000372785254041126,0.007796675993534467,0.003978582922158509,0.853762462690865,0.08445804829660604,-6.494993201588759,0.30412325475845464,0.30525770238313704,0.9319974887687917
^IXIC,441,0,12789,absolute log-return,1,2.1549568291807775e-07,3.677800788991445e-08,0.000567277049581731,7.87594100002996e-05,0.00032316059014047757,0.0005289036801069731,0.000437891349619045,0.9122973320799735,626,13146,3.674147567054379e-06,2.638785879225713e-06,1.0058253071394914e-07,1.0154106923353034e-07,0.002319089236594518,0.000967232805614228,-0.014701361087842509,0.005184581404657082,7.517758209002711e-06,0.9001315844438913
^IXIC,635,0,12700,log-return,1,1.4428339986402604e-08,6.969601689965282e-09,2.9602258147517233e-05,1.3520853315968085e-05,-5.038038809987105e-05,8.893368775996288e-05,6.495526661533958e-05,0.6098355551346718,626,13146,3.35561901322712e-06,4.078470149831444e-06,1.1426871766197001e-07,1.648119334638238e-07,0.0027299590275897917,0.0013336426922019018,-0.018763495253476547,0.00644535446906078,1.2445187527084134e-05,0.9013317558956485
^IXIC,644,0,12880,log-return volatility,1,-8.302907424979095e-05,1.9621408482937085e-05,0.6627064584888195,0.038327318919526114,0.1700151181393896,0.250284032736001,0.1793578833785357,0.9599809775116477,626,13146,0.0008857980036764342,0.00058324080167204,0.0062536588761867825,0.005612351337212022,0.6021678559086804,0.20588966690758326,-4.226957532358262,0.965327060434433,0.4165426616308036,0.9189341980197027
^MERV,311,0,6220,absolute log-return,1,-1.0030161893710603e-06,1.2157549414925477e-07,0.0023853844347228215,0.00012423162899904684,0.00016221454911870677,0.000737093825848084,0.0005718424968145654,0.9589495498595545,314,6280,0.046278231343410046,,-3.15599648937693e-07,,-6.905873895850128e-07,,82.46340015378262,,2.141197271008526e-05,0.8395659888555174
^MERV,274,0,6302,log-return,1,1.8397535932538552e-07,2.59561389306825e-08,-2.4036298762737035e-05,2.800459703951077e-05,-5.168045336238336e-05,0.0001679870248353336,0.0001243028304722544,0.7988659044242876,314,6280,0.010459850080807614,4028.3270454092353,-3.934284876046198e-07,4.934715739480096e-07,-3.6874821949614568e-06,1.4201294204771144,26.539628156474325,10220972.449820934,3.684928665906348e-05,0.8564857148929429
^MERV,310,0,6200,log-return volatility,1,-8.577474359855227e-06,9.49938996216196e-07,0.020883285836450154,0.0009678989719725347,0.004628415837450927,0.005739948141770434,0.0042507614537853145,0.9675415309845699,315,6300,-0.029285458593734402,11344.838977475818,-3.2459397511286846e-06,3.6410276728311625e-06,1.0835128091800706e-05,4.1989734244058,-69.45296649141906,26905134.894139163,0.00017807258447198032,0.9279411961739831
^N225,706,0,14120,absolute log-return,1,5.82827831051843e-08,5.1437971329355065e-08,0.000766710329498193,0.0001055659779617308,0.00039731472378864687,0.0007001814504525303,0.000520225620339734,0.8757841529286613,539,14014,-0.0007538297158964827,50.0088892696903,-2.6719835915106038e-08,4.712899806577017e-08,3.998946226718083e-06,0.2653744089112321,-1.7176087137091096,113940.24712468496,4.132305797997573e-06,0.9339937030651175
^N225,586,0,14064,log-return,1,-4.1814756207195657e-08,4.156654833459386e-09,7.978718691207971e-05,9.373546469261649e-06,-2.56806645356743e-05,6.326508036492042e-05,4.744638731650864e-05,0.8288007502937971,539,14014,-2.5778803266092004e-06,6.165648231778717e-06,-3.334814040303075e-08,8.278899961349723e-08,0.0016970932691557229,0.0010949378090328841,-0.019894184219707362,0.0009323186181347799,7.470877086961561e-06,0.933919815508234
^N225,706,0,14120,log-return volatility,1,-6.142900307299696e-05,1.087654541032359e-05,0.5595020674473433,0.022321895747331098,0.10043247536459113,0.14805318629726055,0.09968409886911561,0.9806727497661271,654,13734,0.1345501506337525,2753.7363202190577,-0.0020817639860866224,0.0023799975349314017,-0.0016190580199721767,33.14798230213945,312.2602322755885,6390100.502541873,0.17795228307558206,0.9486661284666374
^STI,426,0,8520,absolute log-return,1,-2.139880922032385e-07,5.141616763496126e-08,0.0011167483901359542,6.965863306308659e-05,1.9847148984976755e-05,0.00043307466973758823,0.00034229344730768533,0.95069245428661,423,8460,1.0182810544734589e-05,1.7100617921087038e-06,2.2191261342336963e-07,1.1687775584542052e-07,0.00219537373100547,0.0008378301226944772,-0.015151977962855171,0.0032902590268164365,4.982045402208104e-06,0.8901586872551716
^STI,9,0,8802,log-return,1,7.780849599291447e-08,5.27791303197181e-09,-0.0005163226259297411,1.3232179137193267e-05,0.004205134826833399,8.811602057293857e-05,7.73943338620727e-05,0.7450669218353971,424,8480,1.475623883556644e-05,2.01309228026563e-06,5.34936187478317e-07,1.8973758547868e-07,0.0036090435083519787,0.0008288895274239505,-0.02297502741024265,0.0036954581600746467,8.585460346805041e-06,0.9126843579060339
^STI,439,0,8780,log-return volatility,1,-0.00020255111815532903,2.2374928349314204e-05,0.796598079591047,0.031142805765914307,0.14088719840530922,0.19446287414610927,0.11800117472194016,0.9777990396300884,422,8440,0.002736488614588062,0.0004578414802794842,0.01909750564013132,0.007871645453469727,0.6968428665766688,0.17744267742170194,-4.930181881353459,0.6658860083287994,0.3596486783573499,0.9350428714637979
^W5000,382,0,8404,absolute log-return,1,1.3664551780940596e-07,5.523158167247864e-08,0.000718727460844635,7.614415278975452e-05,0.00012680305615674355,0.0004754623628056187,0.00036163257948229654,0.9241977188088487,417,8340,1.0146361723093848e-05,1.3660788954612138e-06,3.5526506875590356e-07,8.617468939233068e-08,0.0033349140525930653,0.00040213400834825927,-0.01870203112090221,0.002079847238952727,3.837703234587092e-06,0.9444601375409604
^W5000,408,0,8568,log-return,1,-4.1374379374520166e-08,6.171221336366884e-09,6.651432312136747e-05,8.532402191822263e-06,9.444746902360984e-06,5.3267379684455605e-05,4.015419170934056e-05,0.7714820267747817,418,8360,1.426337315933976e-05,1.6198922892176998e-06,6.82276122023832e-07,1.4330832095204221e-07,0.004581139102561067,0.00048773959211665627,-0.02578504812956864,0.0025150865871241827,6.7347431566039865e-06,0.947864624574908
^W5000,430,0,8600,log-return volatility,1,-0.00015067816515198221,2.398230751047196e-05,0.7370946835256653,0.03276495267352958,0.15550720725554276,0.2039793782453085,0.13498441649596954,0.9737290474057545,418,8360,0.0028401580028939023,0.00032237845097605333,0.0283113795870856,0.005728787536902014,0.9532250039194717,0.09370377346971762,-5.617817761354237,0.45866926077290643,0.2659168704607834,0.9605027077482233
