symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,average_error_mean,rsquared_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,average_error_variance,rsquared_variance
CAD=X,250,0,5000,log-return volatility,1,-0.001531587459446934,0.0001676761234509912,3.2542527482621795,0.14095628042600544,0.5495522131763614,0.8085780124737997,0.49085241985839023,0.9724033727027698,221,4862,0.021627422528232174,0.003089272274447971,0.7453700926751249,0.237840877927867,3.6229188509712533,0.6621618955638149,-20.524752221808846,2.6255387752800443,7.337867001609686,0.8562872740202626
CHFUSD=X,252,0,5040,absolute log-return,1,-6.292272361837406e-07,8.108708648569296e-08,0.0008543336098210295,6.865237051564275e-05,0.0002544830112602327,0.00039430873952038195,0.0002051013309247508,0.8970718719182355,231,4851,1.5189538988956578e-05,1.0838756177539869e-06,4.4008231518289986e-07,5.968951287356777e-08,0.0029669672694433488,0.00020539502548314932,-0.015116331553270539,0.0009349497746811189,1.6769719268855103e-06,0.9328764745919815
CHFUSD=X,227,0,4994,log-return,1,-5.513646709929842e-08,9.098323259895637e-09,3.608204639585871e-05,7.862113863799107e-06,2.122160376964825e-05,4.537104253149577e-05,2.8147990513377503e-05,0.6485701509702053,231,4851,1.9086384431542318e-05,1.255811914696111e-06,7.51251180079307e-07,8.829408531248012e-08,0.004030348035521946,0.00022366276263838413,-0.021556339724075016,0.0009623131409912233,2.497508561508199e-06,0.9480894887062168
CHFUSD=X,252,0,5040,log-return volatility,1,-0.0003545993053390467,4.689883836760081e-05,0.640338291120868,0.03970688933642407,0.18760411909702185,0.22805876377273285,0.14353689645889814,0.9413228479056504,231,4851,0.004453970508589214,0.00030346035971181987,0.043437526338152926,0.005061179868862032,0.9964511154736717,0.05185617414749654,-5.513735318878848,0.21370069929448599,0.13366680543865345,0.9619754599067265
CNY=X,216,0,5400,absolute log-return,1,1.7143893013697522e-07,1.709724613752426e-08,0.00012163395533697247,3.226393480800974e-05,-0.0007257070716987041,0.00020555422590278787,3.789468603549152e-05,0.9834343556795107,188,5264,9.275400477376201e-06,1.0367649512034973e-06,1.3207103536924155e-07,3.50757977001974e-08,0.001462100822778846,0.0002469315901768069,-0.006313696100195508,0.0013105138628913247,1.21385340455762e-06,0.7677632684409532
CNY=X,198,0,5346,log-return,1,6.452975729328973e-08,7.85211345890385e-09,-0.0001187261529506015,1.4351137795183796e-05,0.0006455432783496883,9.101164117084034e-05,1.68346079380558e-05,0.780874262812097,188,5264,9.163193517345024e-06,1.0657590645316421e-06,1.3061363877052845e-07,3.556627755173783e-08,0.0014588747426898833,0.0002509383403988329,-0.006302561022283531,0.0013313047375499633,1.231603056120203e-06,0.8006801317070894
CNY=X,226,0,5198,log-return volatility,1,0.00025112636410061176,3.930876647030474e-05,-0.7887137074691548,0.07180164781243273,11.45512813478881,0.45455464784869243,0.06139209260256355,0.9244650769425776,188,5264,0.005145968781733042,0.0005552519905930562,0.032044588426544694,0.011231781358573148,0.6254140741538345,0.1848533934677608,-2.487701364513343,1.0431324582721861,0.3592860749746272,0.9579383022679622
COP=X,194,0,4850,absolute log-return,1,6.689454112397157e-06,9.460445337704775e-07,-9.462492373566189e-05,0.0008285036814817661,0.0005235543620861708,0.004786766765199021,0.0036024737899354557,0.8181124442141803,216,4968,0.0009258632639600288,0.00014180606185730318,0.0015053443267109795,0.00045316013442119377,0.16507072572216502,0.02734201078650596,-0.7398320737887834,0.13992655756841346,0.013608516912057592,0.8556919155666205
COP=X,239,0,5019,log-return,1,1.774711474615295e-07,1.6589555621716802e-08,-7.57974906017965e-05,1.3737326191875334e-05,-5.081210183318595e-05,7.8644686091703e-05,5.9723686596681484e-05,0.8777968858987147,216,4968,0.0009301857305457061,0.0001425893180311338,0.0015189557601987909,0.0004577781571221972,0.1657960136390386,0.027499810691903843,-0.7430655862288528,0.14073692819832812,0.013739339689647075,0.855242477764326
COP=X,216,0,4968,log-return volatility,1,-3.454787400405298e-06,5.533758455998119e-07,0.0064711390006168285,0.0004832816752732938,0.0022543545175445524,0.0027345063583145276,0.0018410951010414838,0.9229473125277015,216,4968,0.000123179265996413,2.0085673206569692e-05,2.669603900312393e-05,8.540422748945843e-06,0.021984527031678747,0.0038691112298236035,-0.09870442154994015,0.01977092993903735,0.00025083909615483235,0.851783381086879
EURCOP=X,211,0,4642,absolute log-return,1,-5.140007775196032e-07,8.349595884982124e-08,0.001111429533613275,6.572951825078843e-05,-7.463961400719039e-05,0.0003714723520305036,0.00023644978432116494,0.9517972728170779,219,4599,0.01836790803635196,41412.03494674337,4.078733926548963e-08,3.754486798701962e-08,3.0431298530594177e-07,0.6861000133802487,-29.981115405525877,67595017.99498953,3.1610960089641454e-06,0.8959251105723248
