symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,average_error_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,average_error_variance
CAD=X,233,0,4893,log-return,1,7.508417650098493e-08,9.637656941506801e-09,-3.854236667723295e-05,8.064267616669177e-06,-9.203682673287299e-08,4.625278351060666e-05,3.05203613278785e-05,252,5040,1.3064493440200049e-05,2.314157857115376e-06,2.512889068023853e-07,1.1676208594323172e-07,0.002030815626086965,0.0006050333309017116,-0.011603534062573627,0.0024394283121557453,0.0034323209374445135
CAD=X,245,0,4900,log-return volatility,1,-0.0015339282870516005,0.00018993868588670064,3.2504459864180015,0.15113688574223486,0.5496042591073084,0.8604518691200695,10.442480929745335,242,5082,0.019170690076741576,0.0034737755206269965,0.575025604904188,0.2521289597371512,3.1626035762170477,0.8378728925566149,-18.923661057391925,3.153495151574436,9178.289456373011
CHFUSD=X,252,0,5040,absolute log-return,1,-6.292272361837406e-07,8.108708648569296e-08,0.0008543336098210295,6.865237051564275e-05,0.0002544830112602327,0.00039430873952038195,0.005089660225736346,245,4900,1.37983705284153e-05,1.3949701399093915e-06,3.6918033600059343e-07,7.10062494325413e-08,0.0027379347151079403,0.000267051394263124,-0.014239374209575214,0.0011958531646957887,0.005657697109414855
CHFUSD=X,246,0,4920,log-return,1,-5.074638561156878e-08,9.630642183369845e-09,3.3401838635448874e-05,7.980189265263116e-06,2.099819106411634e-05,4.5661339715435235e-05,0.00041996382118760937,245,4900,1.7596502089342296e-05,1.6087900725805822e-06,6.469467232185572e-07,1.0599670192570496e-07,0.0037656289643727,0.0002898520130568782,-0.02053952664146041,0.0012256296376591167,0.011224154654318221
CHFUSD=X,231,0,4851,log-return volatility,1,-0.00037914767301585776,5.271878081951653e-05,0.6490854527131733,0.043298877805691596,0.1950703082164136,0.24333234527881906,3.70633585573932,245,4900,0.004188042118440747,0.00040408216098047515,0.038496466371522334,0.006419972546235691,0.9404405704550675,0.07029479618885986,-5.2931129459548805,0.2852403085167228,722.3840808594168
CNY=X,213,0,5325,absolute log-return,1,1.8595130617520947e-07,1.7927029238982602e-08,9.774337922072321e-05,3.519245865746502e-05,-0.0005893288398053944,0.00022721791220662379,0.012375905635941554,212,5300,9.049812115099952e-06,1.2621545611116228e-06,1.3147195514101558e-07,4.2617146016001283e-08,0.0014865392697208798,0.00029739266437975645,-0.0065045508317388605,0.0015553557715248278,0.0014253537270898467
CNY=X,218,0,5232,log-return,1,5.913868346000834e-08,9.074467265364177e-09,-0.00011095228134427515,1.7826224568326332e-05,0.0006045535214864614,0.00011503580092712436,0.011486516908150701,212,5300,8.940779154185762e-06,1.2950619239334243e-06,1.300452057218634e-07,4.313615147273778e-08,0.001483388915307063,0.0003016534576658918,-0.006493657012110128,0.0015770596542091096,0.0014199509005741661
CNY=X,218,0,5232,log-return volatility,1,0.00022114324796853867,6.140426339171971e-05,-0.7362917123335287,0.12062484269942947,11.140840624960845,0.7784135780288173,211.675971874256,214,5350,0.003924119847374547,0.0008926207929445542,0.019941236432517672,0.013382022950182157,0.49250283017600244,0.2840262660410738,-2.0229018954341824,1.5953336962829852,171.19439294405515
COP=X,228,0,5016,absolute log-return,1,6.441824104797961e-06,1.1059180154726824e-06,0.0001479837457779431,0.0009217902617419156,-8.068744546545663e-05,0.00525114138047676,0.0038081852712831903,222,4884,0.0006289503155065906,0.0002329987363198043,0.0008934955926004944,0.0005463864942089121,0.13936522638271698,0.03987391400441421,-0.6511319949557361,0.19751787046828445,13.859056416254619
COP=X,226,0,4972,log-return,1,1.5300144058067742e-07,6.276487723119364e-08,-7.731618157355863e-05,5.4022899051631454e-05,-3.2964596729441805e-05,0.00031154101451090016,0.0007772146948262019,222,4884,0.0006316521238561625,0.00023418680176033303,0.0009009594201450806,0.0005514946141835068,0.13993281840351832,0.04008342355051502,-0.653785825968422,0.19855513542758388,13.972215794906804
COP=X,240,0,4800,log-return volatility,1,-3.319027975527169e-06,6.258329610252759e-07,0.006337462563507361,0.0005076992468630094,0.002241722190622636,0.002876909094323528,0.04259272161891971,222,4884,8.150920967402323e-05,3.277685484283021e-05,1.5286102143584226e-05,1.0006129471047809e-05,0.01832349481575031,0.005553939203844962,-0.08596437771601989,0.027405722175144583,0.24056754897612523
EURCOP=X,105,0,4725,absolute log-return,1,-4.472497000334417e-07,7.38804949411686e-08,0.0010722252688233557,7.383163438697205e-05,-1.6245225780101797e-06,0.0004353734076567009,0.00032667913104188087,218,4360,0.0007096596542579826,11.02648530231034,6.129141594225114e-08,2.0377627232627258e-07,1.1065226056195931e-05,0.17209114782070012,-0.7418324193121207,11526.697377638493,0.0010431124261690058
EURCOP=X,229,0,4580,log-return,1,4.77961545844764e-08,1.4969542498368577e-08,-2.1974292919206292e-05,1.1645860350579475e-05,4.3400050418648624e-05,6.550076510614639e-05,0.0008246009578218274,218,4360,0.0015986806151037666,31.753215580041875,1.7949029027869813e-07,3.8556217756720246e-07,1.3465808311257335e-05,0.2676436182965667,-0.8726869987822012,17332.49366218854,0.001493329701787291
EURCOP=X,218,0,4360,log-return volatility,1,-0.0006273869345015735,7.132333884292303e-05,1.1241101458688718,0.051876069971849306,0.20817140411880353,0.2894142516972971,3.747085280183812,230,4600,1.1319500681494183,170067.48062205184,0.013089111825233968,0.03049799246775753,0.0014045804412268679,211.1655559515468,-966.39935425555,145194524.46796253,184.88032347165506
EURUSD=X,249,0,4980,absolute log-return,1,-4.7079425343507076e-07,7.310813184654149e-08,0.0008023612302816577,6.123851070394677e-05,5.638200018490872e-05,0.000351065589805669,0.0011276400037507146,216,4968,4.311569077300768e-05,0.000192499283594729,2.9836523456352855e-07,3.214004254012413e-07,0.000777966976200332,0.004208432389196076,-0.0004361278677413385,0.03806657648499397,5.6974751994023604e-05
EURUSD=X,227,0,4994,log-return,1,-4.2886277108807156e-08,9.058935937593231e-09,1.9142669132785155e-05,7.828076017790502e-06,1.800145424839925e-07,4.517443268779658e-05,2.733308855848221e-05,244,4880,2.66950513618575e-05,9.79300761197014e-06,4.6186771724615754e-07,3.736175651514071e-07,0.0019030621328065581,0.002009544519709814,-0.009636453592326469,0.009147251423337993,0.0025332857366391053
EURUSD=X,246,0,4920,log-return volatility,1,-0.0003497444129810473,4.4721084683063134e-05,0.6662088243021477,0.03714354268615174,0.14904252039309157,0.21168954731911202,2.831807886476232,244,4880,0.005399348229025724,0.0009952486589988338,0.02430945113771292,0.018238290015199707,0.49235633900200637,0.3791648038990867,-2.989679383444371,1.350328183923268,203.33806650682715
GBPUSD=X,246,0,4920,absolute log-return,1,-4.077353067249517e-07,6.84287563563857e-08,0.0007011931292233179,5.670176506888293e-05,0.00018690944487480797,0.0003244382531750042,0.0037381888971496848,250,5000,7.672442711134356e-06,2.061866230074431e-06,1.0342522688141342e-07,5.907103705333243e-08,0.0013936576088383534,0.00044330187444309563,-0.008001550382422394,0.0017680605376737915,0.0016225752631829947
GBPUSD=X,206,0,4944,log-return,1,-4.1454127230944955e-08,1.0229427289559613e-08,8.003825525173629e-06,9.005803492386306e-06,2.7954063454993247e-05,5.199444529848497e-05,0.0006429434593774641,250,5000,1.0138974457159799e-05,2.861563813563891e-06,2.1391277505759752e-07,1.1032704470903429e-07,0.0021701621831863244,0.0005317047362870474,-0.013113678591054924,0.001963835447503837,0.004140868527978867
