symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,drift_coefficient_1_mean,error_drift_coefficient_1_mean,drift_coefficient_2_mean,error_drift_coefficient_2_mean,average_error_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,drift_coefficient_2_variance,error_drift_coefficient_2_variance,drift_coefficient_3_variance,error_drift_coefficient_3_variance,average_error_variance
^GDAXI,343,2,8575,log-return,1,-6.446991281069026e-08,2.224405584067874e-08,7.65758184391505e-05,7.218147192965942e-05,-1338251274.8783572,9274092494.114408,234851.99365586074,2103452.314306902,13.252715413349998,290.77101570979033,8.201333340723285e-05,225,8775,1.3236651429062983e-05,2.3321768498359005e-06,5.998378812362982e-07,1.740368475568464e-07,0.004373688366306883,0.0005600484525349898,1998.6651212799738,1164868172.166458,14.286427719646756,2931995.9519096073,-0.0024880952051814704,508.1621415899512,1.199609541794375e-05
^GDAXI,8,2,8904,log-return volatility,1,3.3025372016073135e-05,4.329571833968899e-06,0.09779764696986953,0.011311341157473908,425795101.0627516,42569948277.36459,-109349.88606884131,2769047.3265795466,2.3083596576172978,1143.8744503680375,0.07899858187416482,283,8773,0.002013764723969443,0.000380254169406318,0.014389042985471836,0.0046286097014896655,0.6905156574141017,0.10097249029083012,1161299.5347038624,500518351441.9036,-730.3670084701355,187806080.37097862,0.07834813723500983,38235.446744048975,0.2911755388415149
^GSPC,803,2,23287,absolute log-return,1,-4.22115235494325e-07,1.2165753916280679e-07,0.0014452509406126777,0.0010305645707667684,-13714.574182103726,72440721245.97437,-7926.911492592694,32394497.60390337,0.49994487288385336,1835.477938995608,0.001208861647342084,574,23534,-0.022915062994726745,2282.277575729713,-1.8659045321632703e-07,1.3333147769350887e-08,7.390569616174168e-07,0.07362726554743591,4296.92953054552,5909327068.382981,3.1465293957633893,4484356.270828111,-0.00021998360949352755,280.13466138476736,6.448934046214165e-06
^GSPC,788,2,23640,log-return,1,1.330488871735431e-08,inf,-1.2466055932727212e-06,inf,1.0,inf,-4621178.410885774,inf,284.4271922011289,inf,4.673104992300828e-05,861,23247,-0.008926852757910619,1490.5754399650677,-3.4514717771617845e-07,8.597312141525426e-08,3.5184482652162743e-06,0.5876433499817902,-6498.732577369234,16872936419.549797,30.52762311650315,67620610.07498768,-0.0018906724675205272,4240.8351433782655,1.671919651957924e-05
^GSPC,1,2,23924,log-return volatility,1,-3.87730828880741e-05,inf,0.0648689310196596,inf,1.0,inf,-1128639.8689863374,inf,70.54422457257259,inf,0.15020903525196255,574,23534,2.3166745820316077,287578.74525502505,-0.003845104308140941,0.00035057178725690435,-0.0001504745037286285,18.679040967388197,318784.63857915724,447153023898.41724,118.96204915161766,192763170.91053116,-0.009132812413756639,11522.283398126088,0.16109522093895912
^GSPTSE,5,2,10980,absolute log-return,1,1.4371100045261513e-07,8.32530644649115e-09,-0.0006346592474451178,2.667423016170515e-05,115504749.74269485,14291861.854264366,42881.120130131676,11763.158751335392,-8.726984538453511,1.2511945340611088,0.000387787743218048,409,10634,1.4742581915815155e-06,1.6790733466818698e-06,4.1807009696228874e-08,4.388861407011527e-08,0.002192371623685133,0.00036337922766076783,333735.0062175138,11608289298.652687,-7.209833510486164,1604113.8128776432,-0.007688938394982505,240.49296563313627,3.094499668507386e-06
^GSPTSE,416,2,10816,log-return,1,-2.2039547655032467e-08,1.3072225191088563e-08,4.032845504079799e-05,3.792922459489749e-05,87675145.78876759,16677982621.396687,-44605.32648465022,1094586.7432586865,3.863371688779331,512.0783317674455,4.9016378447396115e-05,334,10688,2.2328516909974005e-06,1.6346740771822975e-06,9.444814561485933e-08,6.455420118806741e-08,0.0033320968861145985,0.00034350639051845437,-150964.1623617112,9558382967.726067,-1.7137671910338328,448376.87536737625,0.004140448953320434,249.4617497235315,5.5514389784397275e-06
^GSPTSE,1,2,10984,log-return volatility,1,1.3620778863691278e-05,8.71552293031543e-07,-0.016990652840531945,0.002783507645268848,-283291408.93024164,657961406.6372054,23991.146093626703,314209.22849747393,3.7639837104123517,26.55084623532393,0.07999568715539103,409,10634,0.0007656732521167087,0.00040147371897603784,0.007773197756943685,0.004279822267639239,0.8529686886506832,0.09068063033474082,-2609820.7912684795,1109131171208.215,1327.602247651263,232360912.1350903,-0.11580352671910986,39988.935711748,0.30440626311661184
^IXIC,12,2,13140,absolute log-return,1,2.947746639109649e-07,8.698409880430215e-09,7.053055926597013e-05,3.349047972686881e-05,23594626.978141043,74496071.44568898,42641.73690496671,1771.6622432554725,-5.26903544119981,1.0886975094836455,0.000432533785083871,394,13002,1.8795099083152804e-06,3.346000686616912e-06,4.1945147997144986e-08,7.670868992922394e-08,0.0016294744853050957,0.0009844580586270267,134763.1280987444,38866801198.60836,-0.0013500700460801639,1535.9640573843,-0.0023556613852315305,679.50421863365,8.000848809050432e-06
^IXIC,369,2,12915,log-return,1,1.0325790964694941e-08,1.5037961905440537e-08,2.6621474694113517e-05,6.432390896867575e-05,1659034957.6692824,6495598090.280258,-252658.30184203427,757193.2216215135,0.14611977173262136,90.71004653513108,7.717879973856132e-05,393,12969,-2.0125922202000186e-07,7.000919924085261e-06,1.2389671755303327e-08,1.20890155144114e-07,0.0016652475608845635,0.0014911061587217455,-13767.545895771778,23627026762.17751,-10.636468802252734,3329259.917768733,0.0014537559086566932,492.74657038263615,1.3017388787195249e-05
